date,firm_id,equity_vol
2020-09-04,TSLA,0.8459
2020-09-08,TSLA,1.0415
2020-09-09,TSLA,1.075
2020-09-10,TSLA,1.0749
2020-09-11,TSLA,1.0738
2020-09-14,TSLA,1.1146
2020-09-15,TSLA,1.1248
2020-09-16,TSLA,1.1284
2020-09-17,TSLA,1.1397
2020-09-18,TSLA,1.1423
2020-09-21,TSLA,1.1358
2020-09-22,TSLA,1.1498
2020-09-23,TSLA,1.1938
2020-09-24,TSLA,1.141
2020-09-25,TSLA,1.1431
2020-09-28,TSLA,1.145
2020-09-29,TSLA,1.1046
2020-09-30,TSLA,1.1039
2020-10-01,TSLA,1.1088
2020-10-02,TSLA,1.1198
2020-10-05,TSLA,1.12
2020-10-06,TSLA,1.122
2020-10-07,TSLA,1.1242
2020-10-08,TSLA,1.1097
2020-10-09,TSLA,1.1052
2020-10-12,TSLA,1.1057
2020-10-13,TSLA,1.0426
2020-10-14,TSLA,1.0381
2020-10-15,TSLA,1.0264
2020-10-16,TSLA,0.9911
2020-10-19,TSLA,0.991
2020-10-20,TSLA,0.7616
2020-10-21,TSLA,0.7003
2020-10-22,TSLA,0.6999
2020-10-23,TSLA,0.7018
2020-10-26,TSLA,0.6011
2020-10-27,TSLA,0.5631
2020-10-28,TSLA,0.5748
2020-10-29,TSLA,0.5637
2020-10-30,TSLA,0.5692
2020-11-02,TSLA,0.5758
2020-11-03,TSLA,0.5801
2020-11-04,TSLA,0.4901
2020-11-05,TSLA,0.4997
2020-11-06,TSLA,0.4845
2020-11-09,TSLA,0.4791
2020-11-10,TSLA,0.4849
2020-11-11,TSLA,0.4822
2020-11-12,TSLA,0.4639
2020-11-13,TSLA,0.4123
2020-11-16,TSLA,0.405
2020-11-17,TSLA,0.4633
2020-11-18,TSLA,0.5418
2020-11-19,TSLA,0.5451
2020-11-20,TSLA,0.5484
2020-11-23,TSLA,0.5752
2020-11-24,TSLA,0.5993
2020-11-25,TSLA,0.5996
2020-11-27,TSLA,0.5913
2020-11-30,TSLA,0.5967
2020-12-01,TSLA,0.593
2020-12-02,TSLA,0.5964
2020-12-03,TSLA,0.603
2020-12-04,TSLA,0.6029
2020-12-07,TSLA,0.622
2020-12-08,TSLA,0.6202
2020-12-09,TSLA,0.6676
2020-12-10,TSLA,0.649
2020-12-11,TSLA,0.6607
2020-12-14,TSLA,0.6339
2020-12-15,TSLA,0.6373
2020-12-16,TSLA,0.6312
2020-12-17,TSLA,0.6381
2020-12-18,TSLA,0.6469
2020-12-21,TSLA,0.6817
2020-12-22,TSLA,0.6794
2020-12-23,TSLA,0.6686
2020-12-24,TSLA,0.669
2020-12-28,TSLA,0.6646
2020-12-29,TSLA,0.6617
2020-12-30,TSLA,0.6635
2020-01-02,XOM,0.5301
2020-01-03,XOM,0.5301
2020-01-06,XOM,0.5301
2020-01-07,XOM,0.5301
2020-01-08,XOM,0.5301
2020-01-09,XOM,0.5301
2020-01-10,XOM,0.5301
2020-01-13,XOM,0.5301
2020-01-14,XOM,0.5301
2020-01-15,XOM,0.5301
2020-01-16,XOM,0.5301
2020-01-17,XOM,0.5301
2020-01-21,XOM,0.5301
2020-01-22,XOM,0.5301
2020-01-23,XOM,0.5301
2020-01-24,XOM,0.5301
2020-01-27,XOM,0.5301
2020-01-28,XOM,0.5301
2020-01-29,XOM,0.5301
2020-01-30,XOM,0.5301
2020-01-31,XOM,0.5301
2020-02-03,XOM,0.5301
2020-02-04,XOM,0.5301
2020-02-05,XOM,0.5301
2020-02-06,XOM,0.5301
2020-02-07,XOM,0.5301
2020-02-10,XOM,0.5301
2020-02-11,XOM,0.5301
2020-02-12,XOM,0.5301
2020-02-13,XOM,0.5301
2020-02-14,XOM,0.2338
2020-02-18,XOM,0.2348
2020-02-19,XOM,0.2348
2020-02-20,XOM,0.2348
2020-02-21,XOM,0.2338
2020-02-24,XOM,0.2607
2020-02-25,XOM,0.2765
2020-02-26,XOM,0.2748
2020-02-27,XOM,0.3129
2020-02-28,XOM,0.3359
2020-03-02,XOM,0.3736
2020-03-03,XOM,0.3914
2020-03-04,XOM,0.4009
2020-03-05,XOM,0.4145
2020-03-06,XOM,0.4297
2020-03-09,XOM,0.5381
2020-03-10,XOM,0.5572
2020-03-11,XOM,0.5594
2020-03-12,XOM,0.6311
2020-03-13,XOM,0.6381
2020-03-16,XOM,0.6746
2020-03-17,XOM,0.7182
2020-03-18,XOM,0.7593
2020-03-19,XOM,0.7548
2020-03-20,XOM,0.7599
2020-03-23,XOM,0.7611
2020-03-24,XOM,0.8727
2020-03-25,XOM,0.892
2020-03-26,XOM,0.9034
2020-03-27,XOM,0.9085
2020-03-30,XOM,0.9122
2020-03-31,XOM,0.9155
2020-04-01,XOM,0.9133
2020-04-02,XOM,0.9503
2020-04-03,XOM,0.9518
2020-04-06,XOM,0.954
2020-04-07,XOM,0.9533
2020-04-08,XOM,0.9737
2020-04-09,XOM,0.9601
2020-04-13,XOM,0.9543
2020-04-14,XOM,0.9416
2020-04-15,XOM,0.9408
2020-04-16,XOM,0.9401
2020-04-17,XOM,0.9874
2020-04-20,XOM,0.9869
2020-04-21,XOM,0.9201
2020-04-22,XOM,0.9175
2020-04-23,XOM,0.916
2020-04-24,XOM,0.8461
2020-04-27,XOM,0.8442
2020-04-28,XOM,0.7887
2020-04-29,XOM,0.7819
2020-04-30,XOM,0.7161
2020-05-01,XOM,0.751
2020-05-04,XOM,0.7359
2020-05-05,XOM,0.721
